TIEMPO (Seg);ANGULO;DISTANCIA;MATERIAL
21.81;1;1;1
21.74;1;1;1
26.35;1;1;1
21.13;1;1;1
21.31;1;1;1
16.18;1;1;2
13.10;1;1;2
18.10;1;1;2
13.37;1;1;2
17.17;1;1;2
20.22;1;2;1
22.34;1;2;1
18.65;1;2;1
24.47;1;2;1
21.13;1;2;1
14.87;1;2;2
14.75;1;2;2
15.18;1;2;2
14.36;1;2;2
14.06;1;2;2
16.25;1;3;1
17.69;1;3;1
16.30;1;3;1
17.27;1;3;1
16.38;1;3;1
11.25;1;3;2
14.20;1;3;2
9.39;1;3;2
12.67;1;3;2
11.63;1;3;2
25.99;2;1;1
28.53;2;1;1
28.52;2;1;1
20.02;2;1;1
22.28;2;1;1
21.62;2;1;2
19.54;2;1;2
16.79;2;1;2
15.46;2;1;2
18.54;2;1;2
22.75;2;2;1
19.11;2;2;1
20.06;2;2;1
21.03;2;2;1
20.61;2;2;1
18.14;2;2;2
15.93;2;2;2
14.57;2;2;2
15.14;2;2;2
14.60;2;2;2
17.30;2;3;1
15.58;2;3;1
21.66;2;3;1
20.24;2;3;1
23.68;2;3;1
12.41;2;3;2
14.30;2;3;2
16.44;2;3;2
12.16;2;3;2
13.97;2;3;2
20.56;3;1;1
19.32;3;1;1
19.34;3;1;1
23.91;3;1;1
20.53;3;1;1
12.95;3;1;2
13.98;3;1;2
13.11;3;1;2
13.11;3;1;2
13.44;3;1;2
17.04;3;2;1
19.98;3;2;1
20.23;3;2;1
15.99;3;2;1
17.77;3;2;1
10.09;3;2;2
12.61;3;2;2
12.76;3;2;2
13.49;3;2;2
9.65;3;2;2
14.24;3;3;1
15.44;3;3;1
14.02;3;3;1
14.43;3;3;1
14.80;3;3;1
8.61;3;3;2
11.55;3;3;2
7.46;3;3;2
6.58;3;3;2
9.89;3;3;2
